Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,73.559998,79.250000,71.620003,73.570000,60.527870,82528000
2009-11-01,73.860001,79.000000,73.349998,77.440002,63.711803,59750400
2009-12-01,77.849998,84.320000,76.000000,82.669998,68.457832,80368700
2010-01-01,83.089996,85.169998,79.110001,80.489998,66.652618,75208100
2010-02-01,80.839996,81.760002,77.250000,80.150002,66.371040,75020400
2010-03-01,80.570000,84.500000,80.349998,83.570000,69.657585,91066100
2010-04-01,83.870003,90.250000,82.690002,88.669998,73.908524,96407000
2010-05-01,89.190002,90.519997,68.959999,79.309998,66.106758,109573600
2010-06-01,78.720001,83.000000,72.720001,78.989998,66.254021,114407500
2010-07-01,79.059998,87.480003,77.040001,85.540001,71.747932,89556700
2010-08-01,86.800003,88.379997,78.400002,78.550003,65.884979,74721100
2010-09-01,79.510002,88.000000,79.290001,86.709999,73.186211,64059700
2010-10-01,87.379997,91.489998,83.800003,84.220001,71.084579,82038100
2010-11-01,84.570000,87.870003,83.000000,83.980003,70.881996,85344700
2010-12-01,85.419998,87.820000,83.230003,86.300003,73.296959,77138400
2011-01-01,86.750000,90.500000,85.629997,87.919998,74.672874,70774300
2011-02-01,88.019997,93.650002,87.440002,92.230003,78.333481,66069700
2011-03-01,92.190002,94.160004,86.910004,93.500000,79.889702,80777700
2011-04-01,93.529999,97.500000,90.580002,97.209999,83.059677,64783900
2011-05-01,97.580002,97.949997,91.379997,94.379997,80.641632,66189800
2011-06-01,94.330002,95.059998,90.190002,94.849998,81.520927,67513900
2011-07-01,94.830002,98.190002,86.599998,87.139999,74.894386,86582100
2011-08-01,87.980003,88.169998,76.500000,82.980003,71.318977,150664200
2011-09-01,83.019997,83.949997,71.709999,71.790001,62.117474,116304100
2011-10-01,71.129997,82.400002,68.629997,79.019997,68.373337,113482500
2011-11-01,77.889999,83.099998,75.489998,81.040001,70.121170,94894200
2011-12-01,81.250000,82.800003,77.510002,81.730003,71.217896,79927400
2012-01-01,83.760002,87.989998,82.699997,86.709999,75.557365,70287500
2012-02-01,87.519997,88.459999,86.690002,87.599998,76.332901,56589900
2012-03-01,87.720001,90.000000,84.830002,89.209999,78.260567,60428600
2012-04-01,88.790001,89.750000,84.440002,89.360001,78.392159,54391500
2012-05-01,89.129997,89.949997,82.949997,84.410004,74.049721,59884200
2012-06-01,83.050003,89.599998,81.989998,89.599998,79.147079,65465700
2012-07-01,89.290001,92.080002,85.339996,91.230003,80.586914,65037800
2012-08-01,91.650002,94.300003,89.230003,92.599998,81.797112,48767200
2012-09-01,92.029999,94.099998,90.459999,92.419998,82.158127,65053500
2012-10-01,92.900002,95.459999,87.410004,87.599998,77.873329,68655700
2012-11-01,87.940002,91.970001,86.739998,90.949997,80.851372,58270800
2012-12-01,91.410004,94.139999,89.599998,92.849998,83.087700,54850200
2013-01-01,94.190002,101.949997,93.959999,100.550003,89.978127,62614800
2013-02-01,101.440002,104.559998,100.580002,104.000000,93.065399,47905000
2013-03-01,103.389999,106.879997,102.589996,106.309998,95.719986,50128700
2013-04-01,106.000000,108.720001,102.889999,104.709999,94.279396,67230500
2013-05-01,104.779999,112.379997,104.419998,110.269997,99.285515,62323200
2013-06-01,110.699997,113.250000,107.150002,109.349998,99.018524,53296100
2013-07-01,108.370003,118.599998,108.209999,117.430000,106.335106,52519700
2013-08-01,118.379997,119.260002,112.360001,113.580002,102.848862,44047400
2013-09-01,114.570000,122.269997,112.849998,119.410004,108.726212,53217500
2013-10-01,119.690002,126.379997,116.650002,125.849998,114.590012,54356200
2013-11-01,126.760002,134.160004,124.860001,133.509995,121.564659,45827900
2013-12-01,131.669998,140.429993,125.150002,140.250000,128.328217,73382000
2014-01-01,138.050003,139.289993,126.419998,128.190002,117.293373,60369400
2014-02-01,128.220001,135.199997,123.610001,134.729996,123.277435,62329700
2014-03-01,133.070007,135.869995,129.699997,135.660004,124.944000,60219300
